mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_batch_size,param_beta_1,param_beta_2,param_hidden_layer_sizes,param_max_iter,param_n_iter_no_change,param_solver,param_verbose,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.9105412006378173,0.0465531149784649,0.0005039691925048,7.376965194480936e-06,relu,32,0.95,0.95,"(3, 5)",700,100,adam,False,"{'activation': 'relu', 'batch_size': 32, 'beta_1': 0.95, 'beta_2': 0.95, 'hidden_layer_sizes': (3, 5), 'max_iter': 700, 'n_iter_no_change': 100, 'solver': 'adam', 'verbose': False}",0.881578947368421,0.88,0.9466666666666668,0.9066666666666666,0.96,0.9149824561403508,0.0329823814855444,1
3.959612274169922,0.0561995455597662,0.0005383014678955,1.6254063136474802e-05,relu,16,0.8,0.95,"(4, 8)",500,50,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.8, 'beta_2': 0.95, 'hidden_layer_sizes': (4, 8), 'max_iter': 500, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.8947368421052632,0.8933333333333333,0.9466666666666668,0.92,0.92,0.9149473684210528,0.0196611492017824,2
2.0942008018493654,0.0036792081189694,0.0005069255828857,6.272538624727382e-06,relu,32,0.8,0.999,"(2, 10)",500,50,adam,False,"{'activation': 'relu', 'batch_size': 32, 'beta_1': 0.8, 'beta_2': 0.999, 'hidden_layer_sizes': (2, 10), 'max_iter': 500, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.8947368421052632,0.8933333333333333,0.9466666666666668,0.9066666666666666,0.9333333333333332,0.9149473684210528,0.0213932676102988,2
2.97694354057312,0.0529276339097362,0.0005149841308593,3.421950362779456e-06,relu,32,0.95,0.999,"(4, 4)",700,50,adam,False,"{'activation': 'relu', 'batch_size': 32, 'beta_1': 0.95, 'beta_2': 0.999, 'hidden_layer_sizes': (4, 4), 'max_iter': 700, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.9078947368421052,0.9066666666666666,0.9333333333333332,0.9066666666666666,0.92,0.9149122807017545,0.0104923428381512,4
2.081949996948242,0.0128152982112553,0.0004948139190673,5.421284099527729e-06,relu,32,0.9,0.999,"(4, 4)",500,50,adam,False,"{'activation': 'relu', 'batch_size': 32, 'beta_1': 0.9, 'beta_2': 0.999, 'hidden_layer_sizes': (4, 4), 'max_iter': 500, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.9078947368421052,0.8933333333333333,0.9466666666666668,0.9066666666666666,0.92,0.9149122807017545,0.0179839537245466,4
4.020992660522461,0.0699780601755459,0.0005427837371826,1.4300822567746568e-05,relu,16,0.8,0.95,"(7, 5)",500,100,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.8, 'beta_2': 0.95, 'hidden_layer_sizes': (7, 5), 'max_iter': 500, 'n_iter_no_change': 100, 'solver': 'adam', 'verbose': False}",0.9210526315789472,0.8933333333333333,0.92,0.8933333333333333,0.9466666666666668,0.914877192982456,0.0200161215417939,6
5.536811208724975,0.0857017987947889,0.0005125045776367,2.0708132505997147e-06,relu,16,0.95,0.999,"(3, 9)",700,50,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.95, 'beta_2': 0.999, 'hidden_layer_sizes': (3, 9), 'max_iter': 700, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.868421052631579,0.9333333333333332,0.9466666666666668,0.9066666666666666,0.9066666666666666,0.9123508771929824,0.0268785671399894,7
2.160509634017944,0.0376772540562483,0.0005197048187255,1.3651540548241823e-05,relu,32,0.8,0.95,"(6, 6)",500,50,adam,False,"{'activation': 'relu', 'batch_size': 32, 'beta_1': 0.8, 'beta_2': 0.95, 'hidden_layer_sizes': (6, 6), 'max_iter': 500, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.868421052631579,0.92,0.96,0.9066666666666666,0.9066666666666666,0.9123508771929824,0.029405434765042,7
2.9395261287689207,0.0063644258774598,0.0005177021026611,4.04216183710532e-06,relu,32,0.9,0.95,"(1, 11)",700,100,adam,False,"{'activation': 'relu', 'batch_size': 32, 'beta_1': 0.9, 'beta_2': 0.95, 'hidden_layer_sizes': (1, 11), 'max_iter': 700, 'n_iter_no_change': 100, 'solver': 'adam', 'verbose': False}",0.881578947368421,0.8933333333333333,0.96,0.9066666666666666,0.92,0.9123157894736842,0.0270918095266585,9
2.1039095878601075,0.0083501286215684,0.0005087375640869,3.9013323152699975e-06,relu,32,0.9,0.95,"(6, 6)",500,50,adam,False,"{'activation': 'relu', 'batch_size': 32, 'beta_1': 0.9, 'beta_2': 0.95, 'hidden_layer_sizes': (6, 6), 'max_iter': 500, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.8947368421052632,0.8933333333333333,0.9466666666666668,0.92,0.9066666666666666,0.912280701754386,0.0196991843475343,10
1.9798387050628663,0.0193468126780285,0.0004897117614746,5.2147762735337504e-06,relu,32,0.95,0.9,"(1, 7)",500,50,adam,False,"{'activation': 'relu', 'batch_size': 32, 'beta_1': 0.95, 'beta_2': 0.9, 'hidden_layer_sizes': (1, 7), 'max_iter': 500, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.8947368421052632,0.88,0.96,0.9066666666666666,0.92,0.912280701754386,0.0272692761090883,10
3.949224281311035,0.061860392115756,0.0005281448364257,1.6627469648700116e-05,relu,16,0.8,0.95,"(2, 6)",500,100,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.8, 'beta_2': 0.95, 'hidden_layer_sizes': (2, 6), 'max_iter': 500, 'n_iter_no_change': 100, 'solver': 'adam', 'verbose': False}",0.9078947368421052,0.88,0.9466666666666668,0.9066666666666666,0.92,0.9122456140350876,0.0216091359223205,12
2.1137553215026856,0.0054092892754236,0.0005115985870361,3.021055996219093e-06,relu,32,0.9,0.95,"(3, 5)",500,50,adam,False,"{'activation': 'relu', 'batch_size': 32, 'beta_1': 0.9, 'beta_2': 0.95, 'hidden_layer_sizes': (3, 5), 'max_iter': 500, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.9078947368421052,0.8666666666666667,0.96,0.9066666666666666,0.92,0.9122456140350876,0.0298935013335004,12
3.947216701507569,0.0764424139300091,0.0005302906036376,1.785906351103661e-05,relu,16,0.8,0.9,"(3, 5)",500,50,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.8, 'beta_2': 0.9, 'hidden_layer_sizes': (3, 5), 'max_iter': 500, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.868421052631579,0.8933333333333333,0.9466666666666668,0.92,0.92,0.909684210526316,0.0266478234440627,14
5.7213544845581055,0.032287892359522,0.0005471229553222,1.4239318850975554e-05,relu,16,0.8,0.999,"(2, 6)",700,100,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.8, 'beta_2': 0.999, 'hidden_layer_sizes': (2, 6), 'max_iter': 700, 'n_iter_no_change': 100, 'solver': 'adam', 'verbose': False}",0.881578947368421,0.8933333333333333,0.9466666666666668,0.9066666666666666,0.92,0.9096491228070176,0.0225409582404898,15
3.778202199935913,0.0090649260900365,0.0004987239837646,2.502373078041444e-06,relu,16,0.9,0.95,"(7, 1)",500,100,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.9, 'beta_2': 0.95, 'hidden_layer_sizes': (7, 1), 'max_iter': 500, 'n_iter_no_change': 100, 'solver': 'adam', 'verbose': False}",0.881578947368421,0.9066666666666666,0.9466666666666668,0.9066666666666666,0.9066666666666666,0.9096491228070176,0.0209041547853147,16
2.1227324962615968,0.0382336296204924,0.0005060195922851,4.410679275454398e-06,relu,32,0.95,0.999,"(3, 5)",500,100,adam,False,"{'activation': 'relu', 'batch_size': 32, 'beta_1': 0.95, 'beta_2': 0.999, 'hidden_layer_sizes': (3, 5), 'max_iter': 500, 'n_iter_no_change': 100, 'solver': 'adam', 'verbose': False}",0.8947368421052632,0.8933333333333333,0.9733333333333334,0.8933333333333333,0.8933333333333333,0.9096140350877194,0.0318642859289096,17
2.146703338623047,0.0049976297334218,0.0005170345306396,6.100161942361806e-06,relu,32,0.9,0.95,"(5, 3)",500,50,adam,False,"{'activation': 'relu', 'batch_size': 32, 'beta_1': 0.9, 'beta_2': 0.95, 'hidden_layer_sizes': (5, 3), 'max_iter': 500, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.8947368421052632,0.8666666666666667,0.96,0.8933333333333333,0.9333333333333332,0.9096140350877194,0.0329612473803771,17
3.893238639831543,0.0390009174725115,0.0005122184753417,8.389624244875745e-06,relu,16,0.95,0.9,"(4, 8)",500,50,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.95, 'beta_2': 0.9, 'hidden_layer_sizes': (4, 8), 'max_iter': 500, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.8947368421052632,0.8933333333333333,0.9466666666666668,0.9066666666666666,0.9066666666666666,0.9096140350877192,0.0193735055619604,19
3.870480537414551,0.0084315909692206,0.0005006790161132,5.919314435456361e-06,relu,16,0.9,0.9,"(4, 4)",500,50,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.9, 'beta_2': 0.9, 'hidden_layer_sizes': (4, 4), 'max_iter': 500, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.8947368421052632,0.9066666666666666,0.9333333333333332,0.9066666666666666,0.9066666666666666,0.9096140350877192,0.0127278978793034,19
